id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,price,listings_count,host_since,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
6412858,3929874,47.61519938792566,-122.29417850100458,6,2.5,3.0,2.0,1,1125,0,2,29,29,2,100.0,0.61,175.0,2,2012-10-20,100.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,moderate,f,f
6587443,3929874,47.61512548625005,-122.29442820862259,4,1.0,1.0,1.0,2,10,7,35,64,64,4,100.0,1.13,74.0,2,2012-10-20,100.0,f,t,t,Central Area,House,Private room,Real Bed,f,moderate,f,f
3987838,20671912,47.60808438730835,-122.29434247770307,2,1.0,1.0,1.0,2,1125,3,31,50,77,19,100.0,1.34,90.0,1,2014-08-29,100.0,f,t,t,Central Area,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
7027507,6727475,47.616253340480306,-122.29306664685824,1,1.0,1.0,1.0,2,1125,3,3,26,26,1,100.0,0.24,68.0,1,2013-06-04,0.0,f,t,t,Central Area,House,Private room,Real Bed,f,moderate,f,f
10204689,27761130,47.61171081408935,-122.2877229917884,2,1.0,1.0,1.0,5,1125,20,20,20,22,0,0.0,0.0,80.0,1,2015-02-15,0.0,f,t,f,Central Area,Apartment,Entire home/apt,Real Bed,f,flexible,f,f
1029680,3322742,47.61608833052863,-122.2885017279892,4,2.0,3.0,3.0,1,10,0,0,0,231,6,93.0,0.32,500.0,1,2012-08-20,0.0,f,t,f,Central Area,House,Entire home/apt,Real Bed,f,strict,f,f
7208439,10104021,47.61553435758195,-122.28300250056908,4,1.0,1.0,2.0,2,14,29,49,79,354,11,100.0,2.24,115.0,1,2013-11-18,80.0,t,t,t,Central Area,Apartment,Entire home/apt,Real Bed,t,moderate,f,f
8327765,16786048,47.61056360123111,-122.2863438084951,8,3.0,4.0,5.0,3,365,29,59,89,364,0,0.0,0.0,500.0,1,2014-06-14,90.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,strict,f,f
3953611,6576807,47.618353361143605,-122.28745604564772,4,1.0,1.0,2.0,2,1125,19,44,74,160,53,97.0,3.22,115.0,1,2013-05-26,100.0,t,t,t,Central Area,House,Private room,Real Bed,f,strict,f,f
2584354,12651381,47.616489885727994,-122.29401821150424,2,1.0,1.0,1.0,3,1125,0,0,28,303,21,99.0,0.98,125.0,1,2014-02-27,0.0,f,t,t,Central Area,Apartment,Entire home/apt,Futon,f,moderate,f,f
4574700,23713302,47.61217344252554,-122.29192838093992,8,3.0,3.0,4.0,3,21,0,6,6,207,2,100.0,0.32,350.0,1,2014-11-13,100.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,strict,f,f
5685646,29480224,47.61556576443697,-122.28527866611972,6,1.0,2.0,3.0,1,1125,19,49,79,347,60,94.0,6.9,140.0,1,2015-03-16,100.0,f,t,t,Central Area,House,Entire home/apt,Real Bed,f,flexible,f,f
977722,5282519,47.66519839543154,-122.3052890189639,2,1.0,1.0,1.0,2,28,1,27,57,105,64,94.0,1.89,80.0,1,2013-03-01,100.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,flexible,t,t
2931922,3074414,47.664150282402574,-122.3039721417717,5,2.0,2.0,2.0,1,1125,30,60,90,365,10,87.0,0.59,145.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
6426462,3074414,47.66404592726376,-122.30353209380637,1,1.0,1.0,1.0,7,1125,27,27,27,277,2,100.0,0.29,65.0,34,2012-07-27,80.0,f,t,t,University District,Condominium,Private room,Real Bed,f,moderate,f,f
3630581,3074414,47.66218140897996,-122.31339111651842,2,1.0,0.0,1.0,2,1125,30,60,90,349,9,78.0,0.53,98.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
1531458,3074414,47.66701647686934,-122.30440085782202,4,1.0,1.0,2.0,1,1125,18,48,78,353,29,89.0,1.02,105.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,strict,f,f
1549973,3074414,47.65917007373711,-122.31653539871523,3,1.0,1.0,1.0,2,1125,30,60,90,365,7,66.0,0.25,78.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
5719631,3074414,47.6589290542303,-122.31630780258705,3,1.0,1.0,1.0,1,1125,30,60,90,365,3,73.0,0.53,95.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
3679617,3074414,47.66169363972226,-122.31291415717227,4,1.0,0.0,2.0,1,1125,30,60,90,365,15,80.0,0.86,98.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
3158243,3074414,47.66436520121168,-122.30322582970777,4,1.0,1.0,2.0,2,1125,16,16,16,221,13,82.0,0.7,110.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
3329962,3074414,47.65962584333522,-122.31742070915935,3,1.0,1.0,2.0,2,1125,30,60,90,365,25,74.0,1.39,105.0,34,2012-07-27,80.0,f,t,t,University District,Apartment,Entire home/apt,Real Bed,f,moderate,f,f
